CaseID,Status_Notes,Responsible_Agency,Category,Request_Type,Request_Details
338465,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for pg&e",pg&e
338454,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338453,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338449,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Post_Abatement_Inspection"
338447,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338446,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338445,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
338444,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
338442,"see sr #337602 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","WHITE - N/A - N/A - 6T77933"
338441,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338440,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
338439,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338438,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338436,"see sr #336069 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - PickupTruck","SILVER - TOYOTA - 4 RUNNER - 4PEF563"
338433,"#44 12-29-08 @1008 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","BLACK - JETTA - VW - 5HTG105"
338432,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338431,"#44 12-29-08 @1015 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","GOLDEN - SENTRA - NISSAN - 5PKR541"
338426,"ALREADY IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Annuzzi Concrete","Annuzzi Concrete"
338424,"ALREADY IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Annuzzi Concrete","Annuzzi Concrete"
338421,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Missed_Route_Mechanical_Sweeping,Missed_Route_Mechanical_Sweeping
338284,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338420,"ALREADY IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Annuzzi Concrete","Annuzzi Concrete"
338419,"ALREADY IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Annuzzi Concrete","Annuzzi Concrete"
338417,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338416,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338414,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338412,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338411,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338409,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338408,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338407,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338406,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338403,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338401,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338400,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338398,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338396,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338392,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338391,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
338389,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Tires
338388,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338386,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG &E","PG &E"
338376,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
338374,"#246 12-29-08 @1415 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","OFF WHITE - FORD - ECONOLINE - 4A78597"
338370,"#391 12-29-08 @0800 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicles","White - Ford - F-350 - NONE"
338365,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338359,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338354,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
338352,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338349,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338345,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Post_Abatement_Inspection"
338343,NULL,"DPW BSM Queue","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
338342,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
338341,"already in sc ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Esquivel Grading & Paving","Esquivel Grading & Paving"
338336,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338334,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338333,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338332,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338329,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338328,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338327,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338323,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338322,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338321,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338319,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338315,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338313,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338310,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338307,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338305,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338302,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338300,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338299,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338298,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338297,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338296,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338294,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338293,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
338291,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338290,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Tires
338288,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338287,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338286,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338285,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338281,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338280,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338278,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
338274,"#246 12-29-08 @1405 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","Baige - Toyota - Camry - 6CFG210"
338272,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338268,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
338266,NULL,"DPW - Bureau of Street Environmental Services - G","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
338265,"Vehicle has moved. Xncled per Customer.  ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","Silver - Nissan - Altima - 5MUK619"
338263,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
338262,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
338261,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338260,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_structure","Sidewalk_structure - Not_Offensive"
338259,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338258,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338257,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
338256,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338254,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",complaint,"bses - complaint"
338251,"left information for customer. ","DPH - Office of Vital Records - G","General Request - DPH",customer_callback,"ovr - customer_callback"
338250,"Email to mta_311@sfmta.com Enforcement instead. ","DPT - Other - G","General Request - DPT",customer_callback,"enforcement - customer_callback"
338247,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG & E","PG & E"
338246,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338244,"#391 12-29-08 @0858 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","White - Toyota - Camry - 4DRL675"
338239,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338238,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338236,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338234,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338233,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338232,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338228,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338227,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338226,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
338225,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338224,"enter in sc ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338223,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338222,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
338221,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338218,"sc enter ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Muni-Cable Car Superintendent","Muni-Cable Car Superintendent"
338211,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338210,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Not_Offensive"
338207,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_structure","Sidewalk_structure - Not_Offensive"
338203,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",customer_callback,"bses - customer_callback"
338200,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338197,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338195,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338194,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338193,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
338189,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338188,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338187,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Post_Abatement_Inspection"
338184,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338182,NULL,"DPW - Bureau of Street Environmental Services - G","Blocked Street or SideWalk",Blocked_Parking_Space_or_Strip,"Dumpster blocking parking space"
338177,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338176,"Refer to 338207 ","311 Service Request Queue","311 External Request",Graffiti,NULL
338172,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
338169,NULL,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - SUV","BLUE - CHEVROLET - TAHOE - 6CRX552"
338167,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
323631,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338161,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Missed_Route_Mechanical_Sweeping,Missed_Route_Mechanical_Sweeping
338157,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
338152,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
338151,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338149,NULL,"DPW Ops Queue","Litter Receptacles",Damaged_City_Can,Damaged_liner
338148,NULL,"DPW Ops Queue","Litter Receptacles",Damaged_City_Can,Damaged_liner
338147,NULL,"DPW Ops Queue","Litter Receptacles",Damaged_City_Can,Damaged_liner
338144,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338139,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
338132,NULL,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car2door","Green  - Toyota  - Tercel  - 5VDA512"
338130,"SR was directed called over to the PUC.  Closing Out.  ","311 Supervisor Queue","Sewer Issues",Water_Main_Break,NA
338120,NULL,"DPW Ops Queue","Street Defects",Manhole_Cover_Off,Manhole_Cover_Off
338118,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
338117,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
338114,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
338113,NULL,"PUC Sewer Ops","Sewer Issues",Side_Sewer_Issues,Water_coming_out
338100,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338097,NULL,"PUC Sewer Ops","Sewer Issues",Sewage_Back_Up,Outofsewervent4inch
338096,NULL,"DPW BSM Queue","Damaged Property","Damaged News_Rack",News_Rack
338095,NULL,"DPW BSM Queue","Damaged Property","Damaged News_Rack",News_Rack
338090,"Call was made directly to PUC ","311 Supervisor Queue","Sewer Issues",Flooding,On_street
338089,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338088,NULL,"311 Supervisor Queue","Sewer Issues",Flooding,On_street
338068,"Refer to SR: 338156 ","311 Service Request Queue","311 External Request",Damaged_Property,NULL
338055,"#248 12-29-08 @1220 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","maroon - Mazda - unknown - 5VVP361"
338053,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338035,"Duplicate per DPT ","311 Supervisor Queue","Sign Repair","Sign Repair - Other","Stop - Other; support - Leaning"
338034,NULL,"DPW BSM Queue","Sidewalk or Curb",Sidewalk_Defect,Collapsed_sidewalk
338033,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
338022,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
338019,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
338014,NULL,"DPW Ops Queue",Encampments,"Encampment Reports","Encampment Cleanup"
338013,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
338012,"Graffiti removed 12/26/08 ","RPD Graffiti Queue","Rec and Park Requests","Park - Structural_Maintenance",Graffiti
338010,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Not_Offensive"
338005,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
337995,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
337990,NULL,"311 Supervisor Queue","Sign Repair","Sign - Stickers","No_Parking - Stickers; support - OK"
337989,NULL,"DPW Ops Queue","Street Defects",Pavement_Defect,Pavement_Defect
337988,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
337981,NULL,"DPW BSM Queue",Graffiti,"Graffiti on Pay_phone","Pay_phone - Not_Offensive"
337975,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
337971,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
337969,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
337967,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Post_Abatement_Inspection"
337963,""Duplicate SR"," Closing Out.  "","311 Supervisor Queue","Street and Sidewalk Cleaning","Hazardous Materials"
337950,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
337948,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
337944,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
337933,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337931,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
337923,NULL,"DPW Ops Queue",Graffiti,"Graffiti on City_receptacle","City_receptacle - Not_Offensive"
337915,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
337911,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_in_front_of_property","Sidewalk_in_front_of_property - Not_Offensive"
337908,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
337906,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
337904,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
337902,NULL,"311 Supervisor Queue","Street Defects",Pavement_Defect,Pavement_Defect
337900,"#246 12-29-08 @1302 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car2door","blue - Toyota - Tercel - 3DHS142"
337884,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Not_Offensive"
337882,NULL,"DPW Ops Queue","Homeless Concerns","Medical Waste",Needles
337872,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
337868,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
337860,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Offensive"
337854,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
337852,NULL,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","Green grey - Saab - NA - 4WYT286"
337851,NULL,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - SUV","Black - Honda - NA - 5HVZ483"
337848,"#246 12-29-08 @1150 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","White - Honda - Accord - ZNF5500"
337844,"#246 12-29-08 @1147 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","Green - Toyota - NA - 6EMY848"
337841,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
337837,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
337836,"Refer to SR: 338152 ","311 Supervisor Queue","Sign Repair","Sign - Stickers","Other - Stickers; support - Other"
337829,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
337828,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Pole","Pole - Not_Offensive"
337827,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337826,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
337821,"#g44 12-29-08 @0821 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","white - Ford - Escort - 4UNF401"
337820,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
337819,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
337818,NULL,"DPW - Bureau of Street Environmental Services - G","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
337817,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
337815,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
337813,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
337805,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_structure","Sidewalk_structure - Not_Offensive"
337804,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337803,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337802,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
337801,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
337800,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337798,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
337792,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
337791,"#273 12-29-08 @1300 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - PickupTruck","Black - Jeep - Truck - 4MPV524"
337788,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337783,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
337779,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337657,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
337778,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337777,NULL,"DPT Color Curb Queue","Color Curb","Red Color Curb Request","DPT Color Curb"
337776,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
337775,"Investigation conducted by HD 4. Contact number is 252-3833 ","DPH - Environmental Health - G","General Request - DPH",request_for_service,"environmental_health - request_for_service"
337773,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
337771,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
337770,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
